user_id,movie_id,user_rating
138,357,4.0
92,709,2.0
301,412,4.0
60,56,4.0
197,895,3.0
601,325,4.0
710,95,3.0
833,92,2.0
916,425,5.0
940,271,2.0
611,355,1.0
707,712,3.0
699,825,3.0
16,240,4.0
314,1150,4.0
217,684,5.0
276,124,5.0
510,294,3.0
757,265,3.0
881,465,3.0
880,823,3.0
797,243,2.0
188,392,5.0
246,202,3.0
445,433,2.0
91,182,4.0
372,56,4.0
891,116,3.0
71,285,3.0
279,638,4.0
688,309,5.0
59,491,4.0
56,117,5.0
854,466,3.0
615,160,3.0
639,19,4.0
699,591,2.0
195,99,3.0
676,302,5.0
279,1028,4.0
634,124,3.0
505,125,3.0
617,7,3.0
666,98,4.0
416,794,5.0
655,927,3.0
293,248,3.0
350,136,5.0
404,339,1.0
28,96,5.0
428,268,4.0
733,248,3.0
354,275,4.0
486,628,3.0
409,179,5.0
582,240,4.0
253,200,4.0
354,516,5.0
663,1009,3.0
669,175,4.0
535,70,4.0
560,183,5.0
7,386,4.0
223,321,1.0
407,930,2.0
109,125,5.0
643,685,3.0
585,70,5.0
222,540,3.0
624,147,4.0
330,427,5.0
497,665,2.0
664,659,5.0
121,197,4.0
758,253,5.0
26,15,4.0
113,268,4.0
684,435,3.0
645,428,4.0
318,476,4.0
783,872,4.0
440,1265,5.0
194,180,3.0
76,23,5.0
62,13,4.0
943,471,5.0
545,211,3.0
663,124,3.0
139,297,5.0
435,222,3.0
417,67,4.0
290,43,3.0
939,252,3.0
820,286,4.0
297,724,3.0
442,273,4.0
303,31,3.0
832,245,3.0
330,596,5.0
122,1045,4.0
7,510,5.0
128,588,5.0
316,582,5.0
144,1016,3.0
773,233,1.0
116,269,3.0
653,79,4.0
674,117,5.0
653,208,3.0
139,744,5.0
844,432,5.0
708,1047,2.0
655,1473,3.0
940,746,3.0
255,984,1.0
296,211,4.0
336,763,3.0
749,88,4.0
147,269,4.0
10,205,5.0
215,354,4.0
537,1008,2.0
561,1010,3.0
303,91,5.0
886,558,3.0
568,954,2.0
204,268,3.0
586,761,3.0
654,278,3.0
899,827,2.0
836,875,1.0
268,672,2.0
871,82,3.0
677,222,4.0
603,988,4.0
290,50,5.0
41,152,4.0
158,744,4.0
271,89,3.0
269,281,1.0
708,880,3.0
717,866,1.0
85,333,1.0
320,742,4.0
290,436,2.0
551,354,3.0
561,512,4.0
343,229,4.0
311,614,4.0
389,728,3.0
450,173,5.0
671,62,5.0
761,235,3.0
246,369,3.0
263,661,5.0
618,895,3.0
363,121,2.0
25,604,4.0
405,530,1.0
499,258,2.0
506,684,5.0
305,654,4.0
589,340,1.0
805,403,4.0
308,195,5.0
920,268,3.0
247,258,5.0
655,282,3.0
291,9,5.0
625,191,3.0
354,149,5.0
471,932,5.0
309,334,4.0
751,215,4.0
556,172,5.0
771,28,5.0
666,646,3.0
94,121,2.0
814,219,4.0
699,619,2.0
664,356,3.0
733,458,2.0
693,99,3.0
787,288,1.0
661,566,4.0
502,323,4.0
30,259,4.0
616,331,4.0
390,9,5.0
94,566,2.0
453,1037,1.0
715,144,5.0
833,558,4.0
486,264,3.0
417,420,4.0
450,905,5.0
720,333,4.0
711,272,5.0
181,1049,1.0
386,597,3.0
496,661,3.0
262,1135,3.0
676,257,5.0
409,127,4.0
823,12,4.0
198,31,3.0
233,197,5.0
806,179,5.0
540,111,4.0
731,1087,1.0
472,3,5.0
274,25,5.0
850,98,1.0
487,1019,5.0
593,11,4.0
346,520,5.0
896,1222,2.0
514,132,4.0
378,1135,2.0
856,326,2.0
880,841,3.0
214,23,5.0
890,228,4.0
524,55,2.0
472,796,4.0
347,82,5.0
697,820,3.0
622,496,4.0
870,64,5.0
638,234,4.0
374,172,3.0
864,132,5.0
399,307,3.0
537,19,4.0
734,162,3.0
903,13,5.0
747,108,4.0
882,455,3.0
62,121,4.0
130,423,5.0
254,82,4.0
394,208,5.0
653,771,2.0
663,332,4.0
206,1395,1.0
666,1013,3.0
397,171,5.0
262,386,3.0
28,568,4.0
450,771,3.0
396,118,4.0
543,210,3.0
256,235,3.0
889,511,4.0
456,274,3.0
881,29,2.0
936,324,5.0
395,163,5.0
13,900,5.0
524,605,1.0
276,142,3.0
864,603,4.0
933,25,2.0
913,423,3.0
305,135,3.0
549,866,4.0
243,283,3.0
581,137,5.0
73,48,2.0
667,182,5.0
894,236,4.0
645,135,5.0
325,50,5.0
